content,label
"黄果树瀑布绝对可以说是贵州旅游的标志，像我们这样的外地人去贵州旅游一般首先会想到去这里。 虽然网上看过太多关于黄果树瀑布的图片，但是到了实地感受真真儿的不一样噢。八月丰水期的黄果树大瀑布，气势磅礴，走入瀑布里面的水帘洞那种感觉更是强烈。 虽然是暑假旺季，游客众多，但是整个景区标识指示清晰明了，组织分流得当，作为游客体验感棒棒哒。 最让我印象深刻的是银链坠潭瀑布（视频就是这个瀑布），真的好像千万条银链坠入池潭，舍不得离开，这样的瀑布真的好别致，大自然的神奇礼物。
收起评论",好评
贵州黄果树瀑布景区。瀑布之宽，之高之大。像白色的幕布。落下之后，像湛蓝的海水，水帘洞之美。甚是罕见。贵州一游不虚此行。,好评
"天星桥景区位于黄果树大瀑布下游，这里主要观赏石、水、树的美妙结合，是水上石林变化而成的天然盆景区。自然盆景区内最令人留恋的当属《数生步》啦，脚下的每块石头都有日期，每个人都边行边看着石头上的日期，找到自己出生日期的那块石头，就是自己的生步，站在上面许愿拍照留念沿着天星桥一直走到天星湖（猪八戒娶媳妇的地方）
收起评论",好评
"多民族聚居地，山美、水美、人更美—贵州 贵州位于云贵高原上，地理位置独特，风景名胜数不胜数，最让人难忘的就是黄果树瀑布。 ??地址：贵州省安顺市镇宁布依族苗族自治县 ??交通：贵阳金阳汽车总站到黄果树大瀑布停车场。2个半小时车程 ??推荐理由： 黄果树瀑布景区有陡坡塘瀑布、天星桥景区、黄果树大瀑布三个景区。陡坡塘瀑布是《西游记》主题曲唐僧师徒四人牵马过河的场景。 黄果树瀑布是由大小不一，形态各异的18个瀑布组成你。夏季的瀑布水流量比较大，瀑布看起来十分壮观。 [图钉]实用tips： 每个景点都要刷门票，请保留好。 游览车票50元/人，景点间距离很远，徒步会比较累。
收起评论",好评
"来贵州玩自然要来黄果树瀑布，这个景区真的太大了，总共有三个点，中间大巴过度，太大了，回想起来都觉得好辛苦，不过瀑布真的蛮壮观的，各种形态的都有，水量还挺大，尤其水帘洞，那水哗哗的，早起出门从贵阳出发到回返，一整天，感觉走的还不算慢，所以，这个景区的票价绝对值了
收起评论",好评
"新冠肺炎疫情在家，2月份都没出过小区，只能找找存货点评一下了…… 从小就耳闻黄果树瀑布，这次来贵州旅游，无论如何都要过来打卡一下～ 黄果树大瀑布景区主要分三个景区，中间有巴士循环穿梭，如果体力足够好，也可以步行，一张票好像可以使用两天，所以不用着急～ 我们去的时候已经过了雨季，所以水量相对比较小了，不过还是挺壮观的～
收起评论",好评
"黄果树瀑布，即黄果树大瀑布。 古称白水河瀑布，亦名“黄葛墅”瀑布或“黄桷树”瀑布，因本地广泛分布着“黄葛榕”而得名。 位于中国贵州省安顺市镇宁布依族苗族自治县，是世界著名大瀑布之一，以水势浩大著称。 瀑布高度为77.8米，其中主瀑高67米；瀑布宽101米，其中主瀑顶宽83.3米。 最令人称奇的是，黄果树瀑布独有的其它大小瀑布不可比拟的“水帘洞”奇观。游人置身于洞中，震耳欲聋的轰鸣声中，观看那惊心动魄“飞流直下三千尺”宏大场景，那种感觉太叫人震撼了。
收起评论",好评
"去年去的，不仅仅会收门票，车票也是要钱的，因为进去还有坐十来分钟大巴，风景很美，逛两天是最合适的，我们行程比较赶就只一天时间，所以没有逛完，还挺可惜的。重点，我们去的时候是休息日，人超多，真的超级多，站在原地半天。其他地方还好。还有进景区的时候，好像没有看到工作人员维持秩序，所以排队进的时候会有一些人插队。现在不知道还是不是了
收起评论",好评
"去年夏天到贵州办事，顺便到向往已久的黄果树风景区。景区分为陡坡塘，天星桥，黄果树三部分。景区内有可以座巴士在几个景点之间往返。由于不是雨季，瀑布不是很大，但到了黄果树瀑布近前时心里仍然充满了震撼。瀑布近前较为湿滑，建议还是要穿好运动鞋，并带上雨伞或雨披，景区门前的雨披很贵，只用一次不值得。
收起评论",好评
"黄果树瀑布位于贵州省安顺市镇宁布依族苗族自治县，古称白水河瀑布，黄果树瀑布素以雄伟壮观而名扬四海。他最神奇的地方是隐藏在半山腰上的水帘洞，据说轰动一时，让人难以忘怀大型电视连续剧《西游记》就是在这里拍摄的，他是中国的第一大瀑布。
收起评论",好评
"黄果树瀑布出名始于明代旅行家徐霞客，经过历代名人的游历、传播，成为知名景点。黄果树大瀑布位于贵州省安顺市的镇宁布依族苗族自治县境内的白水河上游，安顺市西南45千米处，镇宁布依族苗族自治县境内，东北距贵州省会贵阳市150千米。去年夏天的时候去的，正逢暑假，都是人挤人。
收起评论",好评
"黄果树瀑布是亚洲第一大瀑布，整个风景区在世界上也挺有名气，如果在贵阳附近的话，可以考虑一天往返。景区主要有陡坡塘、天星桥、黄果树三大区。 ? →首先来到陡坡塘瀑布，在黄果树瀑布上游，是该片瀑布群中瀑顶最宽的瀑布。老版的《西游记》在这附近取过景。 ? →进入天星桥景区，一路上的看点也不少。从石桥上纵览纵谷深处。国庆时的人还是挺多的。水潭中有大股大股的水流涌出。银链坠潭瀑布是天星景区最大的看点了，成漏斗形，河水在每个侧面上都均匀铺开。水流相互抨击，很是壮观，周围水雾四起，满耳也全是轰鸣声。 ? →最后，肯定要把更多的时间留给黄果树瀑布本尊。记得是要到达一个景区大厅，可以选择自费乘坐很长的电梯直接来到景区中部，也可以选择步行绕行到景区中部。我当时为了省时间，直接坐了电梯。 进入景区中部，前行一段，就可以看到大瀑布本尊了。气势恢宏，亲眼所见果然壮观！节假日人很多，全是排队参观大瀑布、并继续前往水帘洞的。正面观看要特别注意迎面而来的水雾，跟下雨几乎无异！拍照时身边已然全是水雾…… 所以，一定要提前备好雨衣哈。 ? 进入水帘洞前，能拍到不错的侧照。不禁想起那句”疑是银河落九天”，我觉得放这里形容黄果树也不足为过。黄果树是可以全方位、无死角地观赏的，从这里马上就要进入到水帘洞了，从后面观看。不过洞里水汽很大，相机、手机能不能抗住就是一个问题了，而且空间狭小，人流很大，光线也不足。从水帘洞挤出来，阳光也洒射而下，感觉豁然开朗。 ? 这才发现对面长长的人龙！很难想象自己也是从那样的队伍中一步一步挪出来的…… ? 最后跟这大瀑布告别，才发现犀牛潭中的彩虹也都出来了，很漂亮。把雄伟壮观的黄果树作为本次贵州出行的终点，已然心满意足。
收起评论",好评
"小时候学地理的时候，喜欢看有关旅游方面的介绍和图片，尤其对黄果树瀑布印象特别深刻，书上说它是中国最大的瀑布，那时候，我还没真见过瀑布长什么样，内心便一直充满了期待，长大后，去旅行看过很多瀑布，甚至见到了世界上最大的尼亚加拉大瀑布，但一直没有黄果树，后来去贵州旅行，终于见到了儿时期待的黄果树，从书本真真地来到我的面前。 ??关于黄果树?? 黄果树瀑布位于贵州省安顺市，属喀斯特地貌中的侵蚀裂典型瀑布，它是中国第一、世界第三大瀑布。黄果树景区非常之大，包括三个主要景点: 黄果树瀑、陡坡塘、天星桥，各有特色。 ????亮点推荐???? 1. 最著名的黄果树大瀑布，还没走进，远远便听到它轰轰的声音，走在木栈道上，有多处观景去可以照相，沿路一直走到瀑布面前，水雾很大，几乎把脸和衣服都打湿了，我是夏天去的没在意，也可以穿个雨衣走到跟前。比较有意思的是，人们可以从上下前后面侧面六个方位来观赏，无比壮观； 2. 陡坡塘瀑布是西游记片尾曲师徒四人走过的那个瀑布，在这个景区中，有很多西游记人物造型，甚至还有晒经书的石头，这里小孩子特别喜欢，当然一定不要错过在瀑布面前拍张照，纪念一下西游记。 3. 很多人来到黄果树只去前面两个景点，没有来到天星桥，其实，这个景点非常值得去，它占地面积很大，包括多个小瀑布和喀斯特溶洞，尤其是下半程是真个景点的精华部分，当然这里因喀斯特地貌，台阶较多，如果老人腿脚不好，建议避开。 ????实用信息???? ??地址：贵州省安顺市镇宁县布依族苗族自治县境内白水河上游，安顺市西南45公里处。 ??门票： 1、黄果树景区门票：（包含景点：黄果树大瀑布、天星桥、陡坡塘） 夏季（3月1日至11月30日）：180元/人?次；冬季（12月1日至次年2月底）：160元/人?次； 2、景区观光车票：50元/人（2012年5月8日起实行）； 3、黄果树奇石馆：70元/人次； 4、黄果树大扶梯：50元/人（往返双程），30元/人（单程）； 5、天星桥索道票：10元/人次； ??小TIPS 1. 景区人非常多，尽量早到，错峰出行； 2. 景区有的路程台阶较多，穿着舒适的衣服和鞋子； 3. 不想爬台阶可以乘坐黄果树大扶梯，其实并不远，自己走过去就可以； 4. 如果不选择这个当地游，自由行真的很难在一天内逛完全部景点，只能在附近住一晚，两次进景区。
收起评论",好评
"黄果树大瀑布，举世闻名。来的时候水量还算可以，老远就能听见瀑布的水声。 没有选择坐大扶梯，而且全程选择了步行。 看到70多米高的悬崖峭壁上水流飞泄而下，很是壮观。还看到彩虹。 这里也是86版《西游记》的取景地。
收起评论",好评
"19年8月去的，第一次去贵州，好感度倍增。 从贵阳去还是很方便，高铁下车出站右拐就是客运站，有自己到黄果树的，客满就走，一路高速，不超载，小孩占座的话买票。建议提前联系好住的地儿，这样店家会来车站接。也建议留两天的时间，一天不够，我们头天下午走最远走路最多的地儿，第二天早上赶着开门时间去水帘洞，人很少，等我们出来的时候就排大队了，水帘洞有卖雨衣的，我们是因为还去大小七孔所以都自带。门票提前实名，两天可以用，第一次进去的时候刷脸，后面直接刷脸进，第一次进的时候如果排队耐心等待，小心别别人忽悠。景区东西还是便宜，我们十块钱五根玉米，还好吃。
收起评论",好评
"黄果树瀑布，天星桥景区，陡坡塘瀑布是黄果树瀑布一日游的三个景点。 跟团还是不太方便，但是自己去的有车才行，不然也不方便，贵州到各个景点都比较远，车也不方便。 黄果树瀑布真是气势磅礴，远远闻其身，高度100多米，看过这个瀑布后其他的都不用看了。
收起评论",好评
"以前在贵阳练习拳击，抽空报了个团！去了趟黄果树瀑布！黄果树瀑布给人感觉很壮阔！水量很大！瀑布河水的流量，听导游说！最大时达到1000多个流量。咱也不知道这个1000多的单位是个什么单位！水大时，瀑布溅珠飞洒到100多米高的黄果树街上，铺展在整个岩壁上，挺壮阔！
收起评论",好评
"因为没有提前订车票，从贵阳市区去黄果树瀑布真的太坎坷了，先是临时买火车票，等了好几个小时，不过算是体验了绿皮火车，下了火车又包车去了瀑布景区，没打算全部逛完就没买观光车票，因为从主瀑布去下一个地方还是需要乘车的，交通很不方便，想去的话还是推荐自驾。一路下山去主瀑布，虽然路上累了点，不过看到瀑布的时候真的很值，恰逢天气好，还看到了??山里整个空气都非常好，远远能听到瀑布的声音，课本里的场景出现在眼前有点壮观！看完瀑布还去了后面的水帘洞，等于深入瀑布内，又是另一种感觉，值得一去。回去路上去了条小吃街，烧烤什么的很多，还有特色酸汤鱼，随便问了一家他们本地人会去吃的店，味道真的赞！
收起评论",好评
"黄果树瀑布去的时候算是淡季 水流虽然不是夏季那般湍急 看着还是挺震撼的 小时候西游记片尾曲敢问路在何方也是在这里 陡坡塘瀑布 穿着雨衣去了水帘洞 夏季来的话还是要提前安排好时间 据说要排队一个多小时 我们还算幸运的 人也不是很多 观景效果好是不错的
收起评论",好评
"景区果然就是要在淡季去才有意思。 看图一图二的水量！家里人说这个水好小啊。。。可是我已经觉得瀑布很大了，可能旺季去的水真的很大吧。 一路上边走边看风景，每个景点之间有大巴车连接，一个景点大概有两三个小时。如果想好好玩就需要腾出一天的时间，但是还是有一点点累的。
收起评论",好评
"黄果树的瀑布果然是最壮观的呀 还好不是旺季 所以人不算多进去看瀑布的道路不用排队 水帘洞的感觉真的很不错 很值得走一走 去的这天刚好阴天带有点小雨 好像山水墨画 一路走下来大概也需要一个多小时 好在人不多
收起评论",好评
"说是贵州最有名的景点大概没有人会反驳叭 美到令我这种文盲不知道用什么语句来表达，大自然真的是美丽又神奇又强大 我们是暑假之后去的，游客略微少了一点，太美的景真的没有淡旺季的区别吧 有太阳的天气去可以看到超级美丽的彩虹桥
收起评论",好评
"我们是跟团去的，价格还是还可以的，只是跟团比较方便，要是自己开车去的话路线你们得自己看一下，没有开车去过风景还是很不错的，但是我们去那会水比较小，建议你们要去的话选择雨季的去，这么看到瀑布的水比较壮观
收起评论",好评
"下午才到黄果树 又是雨天 瀑布周围的水汽更大 站在瀑布的观景台 瀑布的壮观 不是图片能展示出来的 真的很推荐伙伴能过来看一看 我大好河山的美景真的太多啦 打算把国内都走遍 在去国外溜 跟团的价格真合适 但是挺赶的 每个景点给的时间都不多 大部分时间都安排在购物店啦
收起评论",好评
"想念那年夏天的黄果树 想念那年夏天的贵州 想念那年夏天欢声笑语的你们 黄果树瀑布真正面对它是无法感受它的魅力 只有在相隔几百米茫茫的水雾浸透皮肤的时候才能感受到那种震撼 从贵阳跟团前往的 景区真的很大 路也比较复杂 导游会指路也会帮你控制时间 往返贵阳的路途比较远 但是大巴车的安全措施是很好的 黄果树瀑布是必须要去的！
收起评论",好评
夏天七月份去，正好碰上汛期，瀑布最壮观的时候，站在下面，简直太震撼了......,好评
黄果树大瀑布气势磅礴，宏伟壮观。,好评
"想来贵州的理由并不在黄果树瀑布，是因为看了网上那里很多贫困的寨子吃穿都成问题，想带着老弟一起送些衣服文具去尽点心意，并且还有超级神秘的洞葬吸引着我。 下了班浦东机场直飞黄果树瀑布，第二天一早去妥妥的避开了人流。整个黄果树景区分为三个部分，每个之间七八公里，需要坐景区游览车。不想等游览车，单独包了车自己舒舒服服的玩，第一站陡塘坡找到生日石留个影，天星桥基本没人瀑布看了个够，黄果树瀑布坐电梯下去确实是气势磅礴，可惜水帘洞在修葺没开放。
收起评论",好评
"这里就是一个大氧吧，到处都是青山绿水。看到课本里的经典景色映入眼帘时，还是小兴奋的。但也许过于关注大瀑布了，当看到银链坠瀑布时，更让我惊喜，巨大的水流声，真是气势如虹，水汽蒸腾在空中，久久不愿离去。美丽的自然，我们要加倍爱护。
收起评论",好评
"腊月里，报的一日游，来到贵州的黄果树瀑布，我们来的时候人不是很多，虽然不是丰水期，但是黄果树的景色依旧非常的美丽，我们拍摄了很多像画一样的美景，每一张图片感觉都可以当成屏保，围绕着黄果树大瀑布远景近景，左面的右面的各种拍摄，大家的手机内存一定要足够哦，来了之后你就会一直拍一直拍
收起评论",好评
"漂亮是蛮漂亮的，值得一去。挺大的，三个景区，我大半天可以搞定，但如果拖家带口需要时时休息或者时时拍照的一天不够。 道路多有湿滑，尤其在溶洞内和水帘洞附近。我就在阶梯处滑了一跤，拖着残肢继续玩完全部，再找到简陋医务室，得到一瓶冰冻矿泉水冷敷半小时。迄今三个多月啦，扭到的地方还没完全消肿…
收起评论",好评
"贵州基本上每年都会去，黄果树真系一个好唔错嘅景点，印象最深刻嘅系天星景区银链坠瀑布，实在太靓啦，而且好有特色，同以往见过嘅瀑布完全一样，层层叠叠现场睇落好壮观，真系好似一串串白色嘅珠仔一样咁靓，以后有机会一定要再去
收起评论",好评
"5A级的名胜风景区，贵州必来之地，水势浩大，世界著名。 大自然的运动，呈现了壮观景象。 反而庆幸我们是4月去的，水汽还不是特别的大。 听导游说到夏天洞里不穿雨衣是过不去的。 ?????导游也很耐心，听说她是当年给国家领导人讲解过的。
收起评论",好评
"重头戏是黄果树瀑布，大自然的鬼斧神工总是出乎人类的意料之外。冬天的水势不及盛夏，但是真实见到还是非常震撼，近距离接触感觉如同在雨中一般，一路都在介绍与西游记的渊源，总觉得下一秒主题曲响起，师徒四人就会出现一般……
收起评论",好评
"黄果树是我国5A级风景区，位于贵州的安顺，风景秀丽，壮观，让我真的非常的震撼，我们是一月的时候去的，人还行，挺多的，风景真的非常的漂亮，漫山遍野的绿色，让人心旷神怡，感叹大自然的杰作，非常的壮观，瀑布由如从天而降，太漂亮啦。
收起评论",好评
美丽的黄果树风景区，令人无比神往。和家人一起跟团畅游，就是时间太紧张了，赶的慌。,好评
"黄果树大瀑布是我特别想去的地方 因为上学的时候在课本里学过.. 我就是比较喜欢怀旧 去赵州桥也是因为课本里学过所以想去看.. 黄果树瀑布看的人超级多 瀑布也很大 雾气在很远的地方就能感觉到了 像下雨一样.. 空气也特别新鲜..
收起评论",好评
"看到过的最壮观的瀑布，没有之一。此次去贵州，就是为了看黄果树瀑布，其他都是顺路。看瀑布之前，要下很久的电梯，把我们送到山下，再走一段路，越走近越能听到水的轰鸣声，然后是密密的水雾扑满全身，嚯！那就是黄果树瀑布！
收起评论",好评
"贵州最最有名的当属黄果树瀑布，飞流直下三千尺，疑是银河落九天；气势如虹，老远就能感受到水花弥漫的雾气； 可惜的是没有黄果树瀑布“夜游”，当某一天月色当照，景区重要节点布置好灯光，那看着瀑布将会又是一番趣味-当属个人遐想... 这个景区需要整整游玩一整天，拍照拍到手软；还有西游记片尾曲师徒四人跨过平坦坡的场景也在这里取的，贵州更有多处是西游记的取景地； 怎么说呢？ 我觉得这个景点是漂亮，有点到此一游的意思，没有来第二次的吸引力对我； 不如马岭河大峡谷我反而觉得愿意再去；可能也是我更喜欢有思考韵味的点吧； 来贵州这里肯定是必到的打卡地，暂且评论到此吧
收起评论",好评
"去贵州旅游必去地黄果树瀑布。 号称亚洲最大的瀑布。 这里是著名的西游记的取景点。 头一次感受到大瀑布的壮美。 景区设备很先进。 有供上下的直梯非常方便。 即便是体力不好的老年人和残疾人， 都可以进行游览。 恰逢我去参观的时候， 遇到天气晴朗，还可以看到依稀的彩虹。 据说黄果树瀑布有6个观景点。 可以走到瀑布后面跟他有个近距离的接触。 后面就是传说中的水帘洞了。 夏天去的，水打在身上很凉爽。
收起评论",好评
"特色体验：可以做电梯上山，在返程图中省了很多力气 推荐理由：终于打卡这个从小就知道的景点，也是来贵州必玩景点之一，丰水期壮丽，水量少的时候也很秀丽。 tips：淡季去虽然水量不大，但是人少，可以充分体验黄果树的美景
收起评论",好评
"一直怕去4A以上的景点，因为觉得人多或者很多不值。 因此路过贵州数次，也未曾去黄果树瀑布。 这次因为带妈妈云贵游，景点是必须去转转的。 大瀑布刷新我之前观念，大景点很多也是必去打卡的，不亏为贵州排名第一的旅游景点。 最远的是天星桥景点，时间可以安排一天，其他两个景点大瀑布和陡坡塘可以安排一天。景区的门票是可以用两天的，因此时间安排好，就可以玩的更好。
收起评论",好评
"黄果树风景名胜区是国家重点风景名胜区，景区内以黄果树大瀑布（高77.8米，宽101.0米）为中心，分布着雄、奇、险、秀风格各异的大小18个瀑布，形成一个庞大的瀑布“家族”。 黄果树风景区被大世界基尼斯总部评为世界上最大的瀑布群，列入世界基尼斯记录。 暑期去游玩的好处是水量充沛，坏处是人实在太多，景区虽然较市区凉爽，但没有树荫的地方还是很热。
收起评论",好评
"离上次到黄果树瀑布旅游已有十年时间，亚洲第一大瀑布.是世界上唯一的可以从六个面看到的瀑布.上.下.左.右.前.后六个方位观赏的瀑布，气势磅礴，其壮阔不但亚洲第一，在世界上也排第三。每年78月份是最佳观赏时期，相对我们这个时间去，瀑布的水流量也不小。
收起评论",好评
"#首页报名霸王餐#，#无锡橙V有特权#。2018年旅游旺季期间，贵州省出台对江浙皖三省来贵州旅游免门票的优惠措施，且高速公路半价收费。抓住机会特选了以黄果树风景名胜区为中心的旅游，且适逢连日下雨，黄果树那几日的瀑布如雷霆万钧声势振天。到是不虚此行了。另外西江千户苗寨，大小七孔风景名胜也是值得一游的。
收起评论",好评
"「黄果树大瀑布景区」 一年不同的时间段黄果树瀑布会呈现不同的景观，去年6月份中旬值汛期，黄果树瀑布水颜色偏黄，水量全年最大，场面十分壮观！ 在观景台观看瀑布的人们都穿着雨衣、打着雨伞，头发、身上都被瀑布水淋湿了，但也不能阻挡大自然给人们带来的惊喜，人们流连忘返，尽情的欢呼！尽情的感受大自然的馈赠！ 人们在观景台、青石路、吊桥上…全方位的观看和体验着黄果树瀑布的壮观以及河套湍急如洪水般的水流，无比满足大自然的能量与神奇！
收起评论",好评
"祖国的河山多美丽。 来到黄果树瀑布区。感受到看祖国地大物博。真是不用到外国去。我们的祖国有这么宏伟的瀑布群。有山有水。我们边走边拍风景。尽情收氧气。我们用了一天的时间，来到黄果树瀑布区。走了徒坡塘风景区，七星桥风景区，最后才到黄果树瀑布区。风景优美。是很愉快的旅行。
收起评论",好评
淡季去的黄果树大瀑布，人少景美机票便宜，非常值得一去！,好评
"位于贵州省镇宁布依族苗族自治县黄果树镇 黄果树瀑布历史悠久，早在1982年，已经是国家级重点风景名胜景点之一 黄果树瀑布属于珠江水系西江干流南盘江支流水系，瀑布群中规模最大的一级瀑布，是世界著名大瀑布之一，水势汹涌而浩大，瀑布高度为77.8米，其中主瀑高67米，瀑布宽101米，其中主瀑顶宽83.3米 建议游玩一天，早上早点出发，因为人多需要排队，带点干粮和水，衣服，雨衣
收起评论",好评
"黄果树风景名胜区，地址为贵州省。安顺市关岭县黄果树国家公园。 交通：交通的话他有大巴车过去，我们是自驾早上8:00贵阳出发到上午10:00多到景区。 特色体验：黄果树风景名胜区的景区分三个地方陡坡塘，天星桥和黄果树，我们因为没有太多时间就直接去了黄果树，因为是旅游旺季人非常多，所以大家还是避开高峰期。 推荐理由：黄果树瀑布确实很漂亮，规模也很大，值得来一趟。
收起评论",好评
"都说冬天的黄果树瀑布不如其他季节的好看，但是去了以后发现真的是各有风骚，以后如果有时间，各个季节的都要去一次，除了瀑布，还有溶洞，黄果树的溶洞不同于其他溶洞，没有过度开发，几乎保持纯天然的感觉，真的非常好玩
收起评论",好评
"交通： 自驾游去的，从贵阳市区开车到安顺大概4小时。 特色体验： 走到黄果树要穿过水帘洞，景区的风景也很好。 tips： 最好是雨季来看黄果树，水量大，瀑布比较壮观。 推荐理由： 贵阳气候很舒服，黄果树驰名天下，不妨来看看。
收起评论",好评
"走过西游记唐僧师徒四人的取经之路！ 黄果树瀑布，怎一个惊艳了得，那磅礴的气势，顺流而下的浩浩荡荡，心情都跟着飞扬，这才是对于旅游真正的拓宽眼界，天天在城市里看到高楼大厦的景象，总是看不见这样美好的自然风光的，所以，这样的旅游感觉还是不错的。 如果来这边坐观光电梯，推荐单程甚至不坐都可以，其实走上去时间还是挺短的，也就20分钟左右，还可以欣赏一下沿途的风景，感觉挺棒的！ 如果时间充足的话就继续前进看一下水帘洞吧，这个大概得20-30分钟左右，但是还是挺值得的，可以直接来到黄果树瀑布的后面，在瀑布的里面行走着，别有一番体验。出来的时候走的吊桥，很长的一段，风景不错哦！ 总体来说，来贵州一定别错过黄果树瀑布，真的很值得！！！！
收起评论",好评
"白水如棉不用弓弹花自散， 红霞似锦何需梭织天自成。 黄果树瀑布，古称白水河瀑布，位于贵州安顺镇宁布依族苗族自治县，为黄果树瀑布群中规模最大的一级瀑布，也是世界最为知名的几大瀑布之一。 瀑布高约66米，宽约80米，以水势浩大而著称，属于喀斯特地貌中的侵蚀裂典型瀑布。 明代著名旅行家徐霞客在其游记里这样描述黄果树瀑布：“珠帘钩不卷，匹练挂遥峰，俱不足以拟其壮也，盖余所见瀑布，高峻数倍者有之，而从无此阔而大者。但从其上下瞰，不免神悚。” 作为详细描述黄果树的第一人，也是从徐霞客开始，黄果树瀑布开始随着他的著作《徐霞客游记》开始名扬四海。1987年1月，当地政府在黄果树大瀑布前塑了一尊徐霞客雕像，以示纪念。 瀑布这边有5个观景点，123在对面的平台，4在水帘洞的半山腰，5在瀑布边，个人感觉对面的观景感觉最好。 友情提醒：记得穿防滑防水的鞋子，带雨衣。
收起评论",好评
"黄果树大瀑布位于贵州省安顺市镇宁布依族苗族自治县，是亚洲第一大瀑布，也是世界著名大瀑布之一。其水势浩大、汹涌澎湃，响彻云霄的瀑布声和周围安静的绿树青山相得映彰，更显壮观。瀑布后面建有＂观瀑亭＂观景台，一条蜿蜒曲折的山路从这里横穿而过，站在水帘洞中向外观看，奔腾不息的河水从悬崖绝壁上飞流直下犀牛潭中，气势磅礴，激起轻纱帐般的?朦细雨，烟云飘渺水汽蒸腾，震撼人心！
收起评论",好评
去年夏天，公司组织的旅游，前段时间好是雨季，所以特别的壮观。,好评
